tag	roc_auc	pr_auc
mood/theme---action	0.7551	0.085
mood/theme---adventure	0.61	0.0486
mood/theme---advertising	0.6746	0.0878
mood/theme---background	0.6179	0.0428
mood/theme---ballad	0.7373	0.0556
mood/theme---calm	0.6206	0.0471
mood/theme---children	0.7017	0.0682
mood/theme---christmas	0.702	0.1279
mood/theme---commercial	0.6658	0.0531
mood/theme---cool	0.5522	0.0179
mood/theme---corporate	0.7906	0.1247
mood/theme---dark	0.6767	0.1188
mood/theme---deep	0.8405	0.3821
mood/theme---documentary	0.5751	0.049
mood/theme---drama	0.6357	0.028
mood/theme---dramatic	0.6398	0.0412
mood/theme---dream	0.5654	0.0726
mood/theme---emotional	0.6089	0.1094
mood/theme---energetic	0.7109	0.1494
mood/theme---epic	0.8125	0.3095
mood/theme---fast	0.7821	0.0298
mood/theme---film	0.693	0.2156
mood/theme---fun	0.7328	0.0439
mood/theme---funny	0.6635	0.0248
mood/theme---game	0.6064	0.0287
mood/theme---groovy	0.6931	0.0158
mood/theme---happy	0.695	0.1738
mood/theme---heavy	0.8718	0.0797
mood/theme---holiday	0.6193	0.0191
mood/theme---hopeful	0.5911	0.0161
mood/theme---inspiring	0.6321	0.0831
mood/theme---love	0.6235	0.0979
mood/theme---meditative	0.7377	0.1281
mood/theme---melancholic	0.5721	0.0299
mood/theme---melodic	0.5676	0.0734
mood/theme---motivational	0.7435	0.1146
mood/theme---movie	0.5511	0.037
mood/theme---nature	0.6395	0.0294
mood/theme---party	0.7752	0.0425
mood/theme---positive	0.7108	0.0863
mood/theme---powerful	0.71	0.0489
mood/theme---relaxing	0.6895	0.1581
mood/theme---retro	0.5957	0.0216
mood/theme---romantic	0.6216	0.0616
mood/theme---sad	0.6209	0.0667
mood/theme---sexy	0.6496	0.0125
mood/theme---slow	0.5877	0.0202
mood/theme---soft	0.6144	0.0429
mood/theme---soundscape	0.6817	0.0704
mood/theme---space	0.6813	0.0351
mood/theme---sport	0.7341	0.0452
mood/theme---summer	0.8305	0.3153
mood/theme---trailer	0.8763	0.1684
mood/theme---travel	0.4954	0.0112
mood/theme---upbeat	0.692	0.0359
mood/theme---uplifting	0.6401	0.0573
