tag	artists	albums	tracks
electronic	1036	1036	1036
rock	573	573	573
pop	510	510	510
ambient	414	414	414
soundtrack	343	343	343
alternative	298	298	298
experimental	259	259	259
classical	253	253	253
easylistening	215	215	215
indie	180	180	180
dance	166	166	166
hiphop	165	165	165
chillout	148	148	148
metal	143	143	143
poprock	143	143	143
jazz	136	136	136
house	133	133	133
techno	131	131	131
folk	129	129	129
world	123	123	123
lounge	108	108	108
newage	107	107	107
instrumentalpop	96	96	96
orchestral	95	95	95
popfolk	95	95	95
trance	95	95	95
progressive	93	93	93
rap	90	90	90
funk	86	86	86
reggae	84	84	84
blues	82	82	82
atmospheric	74	74	74
punkrock	74	74	74
triphop	67	67	67
instrumentalrock	65	65	65
downtempo	61	61	61
psychedelic	58	58	58
singersongwriter	53	53	53
electropop	49	49	49
industrial	49	49	49
latin	46	46	46
dubstep	45	45	45
rnb	45	45	45
minimal	43	43	43
hardrock	40	40	40
fusion	38	38	38
postrock	38	38	38
club	37	37	37
dub	35	35	35
synthpop	35	35	35
breakbeat	34	34	34
grunge	33	33	33
ethno	30	30	30
drumnbass	28	28	28
improvisation	28	28	28
rocknroll	28	28	28
electronica	27	27	27
symphonic	27	27	27
darkambient	26	26	26
soul	26	26	26
disco	25	25	25
idm	25	25	25
80s	24	24	24
alternativerock	24	24	24
contemporary	23	23	23
darkwave	23	23	23
deephouse	23	23	23
heavymetal	23	23	23
eurodance	22	22	22
ska	22	22	22
chanson	21	21	21
country	21	21	21
classicrock	20	20	20
gothic	20	20	20
newwave	19	19	19
acidjazz	18	18	18
swing	18	18	18
90s	17	17	17
edm	15	15	15
hard	15	15	15
jazzfunk	15	15	15
70s	14	14	14
ethnicrock	14	14	14
worldfusion	14	14	14
60s	13	13	13
bluesrock	12	12	12
bossanova	12	12	12
celtic	12	12	12
groove	12	12	12
african	9	9	9
medieval	9	9	9
tribal	8	8	8
jazzfusion	7	7	7
choir	6	6	6
oriental	6	6	6
