tag	artists	albums	tracks
melodic	82	82	82
energetic	63	63	63
relaxing	62	62	62
love	61	61	61
dark	60	60	60
film	60	60	60
happy	60	60	60
dream	56	56	56
emotional	43	43	43
epic	40	40	40
meditative	37	37	37
romantic	36	36	36
uplifting	31	31	31
space	30	30	30
sad	30	30	30
deep	27	27	27
inspiring	25	25	25
soundscape	25	25	25
calm	24	24	24
corporate	22	22	22
motivational	20	20	20
positive	20	20	20
summer	20	20	20
soft	19	19	19
ballad	18	18	18
documentary	18	18	18
christmas	17	17	17
melancholic	17	17	17
slow	16	16	16
advertising	16	16	16
movie	15	15	15
adventure	14	14	14
children	14	14	14
fast	14	14	14
funny	14	14	14
commercial	13	13	13
party	13	13	13
retro	13	13	13
sport	13	13	13
background	12	12	12
dramatic	12	12	12
groovy	12	12	12
heavy	12	12	12
trailer	12	12	12
upbeat	11	11	11
ambiental	11	11	11
game	11	11	11
fun	10	10	10
holiday	10	10	10
horror	10	10	10
action	9	9	9
travel	9	9	9
hopeful	8	8	8
powerful	8	8	8
nature	7	7	7
cool	6	6	6
sexy	6	6	6
drama	5	5	5
mellow	5	5	5
